ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS,CIDADE,ESTADO
149490335,tempo de atendimento,recife - pe,2022-01-09,demora na execução<->plano<->planos de saúde<->hapvida saúde,nao respondida,acabei de sair de uma urgência por causa de atendimento péssimo na verdade um atendimento que não existiu porque eu desistiminha vez na urgência gente mais de horas esperando para ser atendido se fosse para morrer já tava morta nem na upa eu nunca esperei tanto para ser atendida e receber medicação plano que está ficando de pessima qualidade eu vou procurar cancelar porque é ruim a emergência é ruim para marcar consulta deus me livre quando você tem a sorte de ser atendida dos médicos parece que não sabe o que tá fazendo isso é revoltante,https://www.reclameaqui.com.br//hapvida-saude/tempo-de-atendimento_2DN8tp8TtRnA6MpZ/,2022,1,9,9,1,6,1,66,RECIFE,PE
149499817,hapvida não tem nutrólogo,salvador - ba,2022-01-09,planos de saúde<->qualidade do serviço prestado<->planos de saúde<->hapvida saúde,nao respondida,o hapvida diz que fornece o serviço de nutrólogo e quando vamos marcar pelo app só anda em atualização e os números de telefone de clínicas que presta serviços não está atendendo nutrólogo se não tem o serviço pra que coloca afff,https://www.reclameaqui.com.br//hapvida-saude/hapvida-nao-tem-nutrologo_E3k6gyU9Q-rhRaP6/,2022,1,9,9,1,6,1,66,SALVADOR,BA
149498293,descaso de tratamento de hemodiálise,olinda - pe,2022-01-09,"demora para autorização de consultas, exames e cirurgias<->planos de saúde<->rede de atendimento<->hapvida saúde",respondida,meu irmão wagner santiago estava internado devido há umas complicações renais e de diabétes necessita fazer hemodiálise vezes na semana foi dá entrada hj para começar o procedimento no atendimento da hapvida na rua barão de itamaracá e pediram para ele esperar uma resposta no período de dias isso é inadmissível pois o mesmo não pode ficar sem as secções a última foi feita na terça feira ainda internado então no máximo seria para já fazer a próxima amanhã como meu irmão vai ficar sem fazer hemodiálise durante dias preciso urgente de ajuda o caso dele é muito sério,https://www.reclameaqui.com.br//hapvida-saude/descaso-de-tratamento-de-hemodialise_q3aAqJM4xaUOifnc/,2022,1,9,9,1,6,1,66,OLINDA,PE
149495455,desorganização e falta de resolução de problema,goiânia - go,2022-01-09,demora na execução<->planos de saúde<->planos de saúde<->hapvida saúde,nao respondida,agendei pelo chat um procedimento onde fui bem clara e expliquei detalhadamente todas as orientações do médico solicitante do procedimento pois bem chegando hoje na data e horário marcado pelo próprio atendente fui informada que não estava marcada e que teria que remarcar novamente pra dia quase dias depois visto que pago quase todo mês de plano e quando preciso de um simples procedimento por erro de informações e orientações corretas tenho que esperar dias fora o prazo que venho já aguardando pra fazer o procedimento que segundo o próprio medico solicitante é algo simplesoutro problema é que há algum tempo tenho um aumento significativo de astigmatismo onde já estou com graus de astigmatismo e de miopia em um dos olhos solicitei ao dr a cirurgia refrativa e fui informada que o plano não cobre devido não ter quase nada de miopia ou seja tenho que esperar a cada consulta aumentar mais o graucomo assim pago plano à anos e um valor alto e o plano não cobre a cirurgia refrativatotalmente decepcionada com hapvida não indico pra mais ninguém,https://www.reclameaqui.com.br//hapvida-saude/desorganizacao-e-falta-de-resolucao-de-problema_hIE2j7PVpDtDYB_Y/,2022,1,9,9,1,6,1,66,GOIÂNIA,GO
149495285,liberação de procedimento,fortaleza - ce,2022-01-09,planos de saúde<->planos de saúde<->hapvida saúde<->dificuldade para agendamento de exames-consultas,respondida,paguei fatura do plano em atraso e tal atraso é devido a imensa burocracia de mudança de dia de vencimento necessito liberação para autorizar e realizar consulta do meu filho que é autista e necessita de terapia ocupacional e outras consultas e o plano pede pra aguardar h apos pagamento difícil dessa forma,https://www.reclameaqui.com.br//hapvida-saude/liberacao-de-procedimento_VC35XyUcYRrzoOKK/,2022,1,9,9,1,6,1,66,FORTALEZA,CE
149494731,falta de estrutura,salvador - ba,2022-01-09,banheiro<->problemas de infraestrutura<->não encontrei meu problema<->hapvida saúde,respondida,meu esposo tinha endoscopia marcada hoje as h na sede da lucaia fui como acompanhante pois o mesmo seria sedado pra efetuar o procedimento e não me foi permitido estacionar no estabelecimento da clinica que possui vagas mas segundo o segurança só para idosos e medicos agora eu pergunto como colocam uma clinica pra fazer esse tipo de procedimento em uma via que não possui estacionamento ou qualquer outro local perto e como eu iria sair com um homem sedado pelas vias até onde tivesse colocado o carro achei uma falta de empatia e respeito com seus associados demos duas voltas no quarteirão procurando algum local para estacionar e o mesmo não foi encontrado ou seja meu marido não fez o exame e tenho certeza que o problema irá continuar porque essa empresa não está nem ai só interessa que o seu pagamento esteja feito,https://www.reclameaqui.com.br//hapvida-saude/falta-de-estrutura_Qtj4YQVeyfzC43Sd/,2022,1,9,9,1,6,1,66,SALVADOR,BA
149493275,"hapvida cobrando coparticipação de pré natal, não cumpre com determinação da ans.",são paulo - sp,2022-01-09,planos de saúde<->cobrança indevida<->planos de saúde<->hapvida saúde,nao respondida,eu irei passar toda a minha gestação praticamente sem receber salário pois a hapvida está me cobrando coparticipação absurda sobre minhas consultas e meus exames de pré natal de acordo com a ans é proibido cobranças sobre consultas e exames de pré natal próximo mês virá descontando de coparticipação já falei com a empresa que não irei pagar e me informaram que eu teria que falar direto com o hapvida ligo lá e ninguém sabe me da essa informação irei procurar um defensor público pra ele pedir o ressarcimento de tudo que vinher me cobrando de coparticipação durante minha gestação vocês estão comentando um editado pelo reclame aqui e eu irei atrás dos meus direitos se for pra tá pagando um absurdo de coparticipação é muito melhor fazer meu acompanhamento pelo sus eles nos disponibiliza um plano de saúde com descontos altíssimos que é pra não usar mesmo,https://www.reclameaqui.com.br//hapvida-saude/hapvida-cobrando-coparticipacao-de-pre-natal-nao-cumpre-com-determinacao-d_VyndT_hYaVsvRIm0/,2022,1,9,9,1,6,1,66,SÃO PAULO,SP
149500357,revoltada,salvador - ba,2022-01-09,plano<->planos de saúde<->qualidade do serviço prestado<->hapvida saúde,resolvido,fiquei a mais de mês aguardando a consulta para minha filha de ano e meses para fonoterapiaque estava agendada para entraram em contato cancelando o atendimentonão remarcaram e quando tento remarcarinforma que só tem vaga para novembroisso é um absurdo aí fui informada que se não quisesse a vaga teria que ficar entrando em contato todos os dias para ver se encontro vaga mais próxima falta de respeito com os segurados do plano,https://www.reclameaqui.com.br//hapvida-saude/revoltada_LJJMhkI8otc6HfBT/,2022,1,9,9,1,6,1,66,SALVADOR,BA
149491487,aumento do plano!,salvador - ba,2022-01-09,planos de saúde<->reajuste abusivo<->planos de saúde<->hapvida saúde,nao respondida,boa tarde site tem várias promoções para clientes de novos contratos do plano de saúde mas para minha mãe que é uma cliente antiga e que paga sempre antes da data de vencimento não tem nenhum tipo de promoção ou redução gostaria de saber se é possível algum tipo de desconto para uma cliente tão antiga e que paga tão bem com todas as dificuldades financeiras que passamos e que o brasil passa gostaria de ter acesso a informações do contrato dela e se esses ajustes de valor são de fato corretos,https://www.reclameaqui.com.br//hapvida-saude/aumento-do-plano_l0Iz1G8WGWQIv6s9/,2022,1,9,9,1,6,1,66,SALVADOR,BA
149484689,atraso na entrega do exame,salvador - ba,2022-01-09,exames lab e imagens<->atraso na entrega dos resultados<->não encontrei meu problema<->hapvida saúde,respondida,residimos na cidade de feira de santana e meu esposo amilton terá que fazer um procedimento cirúrgico que só faz em salvador viajamos dia pra fazer a consulta com o profissional e ele pediu alguns exames e depois retornar lá dia pra mostrar os resultados e também se consultar com anestesista ele fez os exames de sangue no dia seguinte e a previsão de entrega era pra o dia no dia por curiosidade acessando o site pra ver se o resultado estava pronto ficamos sabendo que ele teria que retornar pra fazer nova coleta sendo que ninguém fez contato ninguém mandou email nada ele foi no dia seguinte fez a coleta e disseram que o prazo era o mesmo hoje para nossa surpresa ao acessar o site estava novamente constando a informação de necessidade de nova coleta meu esposo foi la completamente estressado pois teve que sair do trabalho e se deslocar até o centro da cidade chegando lá falou com o setor responsável e informaram pra ele que o resultado só vai ficar pronto no dia absurdo e inaceitável um mês depoissó que o retorno ao médico e a consulta com anestesista está marcada para em salvador km de distância de onde moramos peço providências e agilidade na entrega de uma única coleta refeita dia pois todos os outros exames já estão prontos aguardo um retorno o quanto antes,https://www.reclameaqui.com.br//hapvida-saude/atraso-na-entrega-do-exame_wLRkjfK8YqU4cJAV/,2022,1,9,9,1,6,1,66,SALVADOR,BA
